# Matches con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_TAM

[60%] gast-89      DISPENSER TOALLAS INTERCALADAS                → dispenser-para-toallas-de-mano-intercaladas
[53%] emb-142      SOBRES MANILA 16X23 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-143      SOBRES MANILA 19X25 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-144      SOBRES MANILA 20X28 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-145      SOBRES MANILA 23X32 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-146      SOBRES MANILA 25X35 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-147      SOBRES MANILA 27X37 XU                        → sobre-manila-13-x-19-x-10-unidades
[53%] emb-148      SOBRES MANILA 27X37 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-149      SOBRES MANILA 30X40 XU                        → sobre-manila-13-x-19-x-10-unidades
[53%] emb-150      SOBRES MANILA 30X40 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-151      SOBRES MANILA 37X45 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-152      SOBRES MANILA A4 SUELTO XU                    → sobre-manila-13-x-19-x-10-unidades
[53%] emb-153      SOBRES MANILA CHICOS XU                       → sobre-manila-13-x-19-x-10-unidades
[53%] emb-154      SOBRES MANILA GRANDE XU                       → sobre-manila-13-x-19-x-10-unidades
[53%] emb-155      SOBRES MANILA 37X45 XU                        → sobre-manila-13-x-19-x-10-unidades
[50%] caj-42       CAJA ARCHIVO 40X30X17 C205                    → caja-archivo-americana-alta-42x32x25-403
[50%] caj-43       CAJA ARCHIVO 42X32X25 ART.403                 → caja-archivo-americana-alta-42x32x25-403
[50%] caj-44       CAJA ARCHIVO 42X32X25 REFORZADA ART.406       → caja-archivo-americana-alta-42x32x25-403
[50%] caj-45       CAJA ARCHIVO T/VOLCADA PLASTICO               → caja-archivo-americana-alta-42x32x25-403
[50%] caj-65       CAJA ENSALADERA CARTON XU                     → caja-carton-corrugado-40x30x30-cm-x-10-unidades
[50%] caj-144      PLANCHA CARTON 50X70 2MM                      → plancha-de-ojalillos
[50%] caj-145      PLANCHA CARTON 50X70 X1MM                     → plancha-de-ojalillos
[50%] caj-146      PLANCHA CARTON 70X100 0.5MM XU                → plancha-de-ojalillos
[50%] caj-147      PLANCHA CARTON 70X100 1-1.5MM                 → plancha-de-ojalillos
[50%] caj-148      PLANCHA CARTON 70X100 2MM                     → plancha-de-ojalillos
[50%] caj-149      PLANCHA CARTON 70X100 3MM                     → plancha-de-ojalillos
[50%] caj-150      PLANCHA CARTON GRIS 35X50 1MM XU              → plancha-de-ojalillos
[50%] caj-152      PLANCHA CORCHO 45X60X3MM                      → plancha-de-ojalillos
[50%] caj-153      PLANCHA CORCHO 60X90X2MM                      → plancha-de-ojalillos
[50%] caj-154      PLANCHA MICRO COLOR XU                        → plancha-de-ojalillos
[50%] caj-155      PLANCHA MICRO NATURAL XU                      → plancha-de-ojalillos
[50%] bol-173      BOLSAS POLIPROPILENO 05X30 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-174      BOLSAS POLIPROPILENO 06X30 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-175      BOLSAS POLIPROPILENO 06X10 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-176      BOLSAS POLIPROPILENO 06X20 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-177      BOLSAS POLIPROPILENO 06X25 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-178      BOLSAS POLIPROPILENO 08X15 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-179      BOLSAS POLIPROPILENO 08X20 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-180      BOLSAS POLIPROPILENO 08X25 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-181      BOLSAS POLIPROPILENO 08X30 X200U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-182      BOLSAS POLIPROPILENO 10X15 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-183      BOLSAS POLIPROPILENO 10X25 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-184      BOLSAS POLIPROPILENO 10X15 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-185      BOLSAS POLIPROPILENO 10X20 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-186      BOLSAS POLIPROPILENO 12.5X13 ADHESIVO X100U   → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-187      BOLSAS POLIPROPILENO 12X20 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-188      BOLSAS POLIPROPILENO 12X25 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-189      BOLSAS POLIPROPILENO 12X30 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-190      BOLSAS POLIPROPILENO 15X20 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-191      BOLSAS POLIPROPILENO 15X20 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-192      BOLSAS POLIPROPILENO 15X25 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-193      BOLSAS POLIPROPILENO 15X30 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-194      BOLSAS POLIPROPILENO 17X30 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-195      BOLSAS POLIPROPILENO 20X30 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-196      BOLSAS POLIPROPILENO 20X25 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-197      BOLSAS POLIPROPILENO 20X30 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-198      BOLSAS POLIPROPILENO 20X35 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-199      BOLSAS POLIPROPILENO 20X40 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-200      BOLSAS POLIPROPILENO 22X40 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-201      BOLSAS POLIPROPILENO 25X35 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-202      BOLSAS POLIPROPILENO 25X35 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-203      BOLSAS POLIPROPILENO 25X40 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-204      BOLSAS POLIPROPILENO 30X40 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
